,HLM_ELM,MLMP,SLMP,SLMPbox,Linear SVC,RBF SVC,DEP,r-DEP (Ensemble),r-DEP (Bagging)
Mushroom,0.8921469589828996,0.6929761893927673,0.6826309067688379,0.8537675606641124,0.9884488674111084,1.0,0.6846292807673756,1.0,1.0
Mushroom,0.8662424198299372,0.6927645968517457,0.6826309067688379,0.8588761174968071,0.9804606801903878,1.0,0.4699038050254366,1.0,1.0
Mushroom,0.881248073281367,0.6856696172986304,0.685823754789272,0.855683269476373,0.9854670365966443,1.0,0.7183467653146607,1.0,1.0
Phoneme,0.7222756701405519,0.7884226303532793,0.4980366492146597,0.4980366492146597,0.6915681206335573,0.8039931788527921,0.7196165788560953,0.8367776272978017,0.8069123986324673
Phoneme,0.7003113283895155,0.7859225064825672,0.5009228368044659,0.5005367730853717,0.7246250846449865,0.7953015838935042,0.6846478768559962,0.7751085933241944,0.8156039935917552
Phoneme,0.6942375344773482,0.7803854856557716,0.5031545741324921,0.501845673608932,0.7205476737080285,0.8361273060597552,0.7102705336350273,0.7660350636695459,0.8502712768592994
Phoneme,0.6597014433261621,0.7786810587139477,0.4986893840104849,0.4980340760157274,0.7121095971710477,0.8107808468722437,0.684180700149196,0.7917707328733814,0.8202106877024655
Phoneme,0.7292999160709634,0.7970550417371243,0.501843958142977,0.5043432242807117,0.7297112923831299,0.8103741250501301,0.6822996556015397,0.8319372723476564,0.8252704954293818
Titanic,0.6751067724222086,0.5,0.5,0.5,0.7267212653118693,0.6753883700192425,0.2732787346881307,0.6266250527995494,0.6021847280236542
Titanic,0.7095897532848094,0.5,0.5,0.5,0.7094006994990074,0.708077322998393,0.7189479156820116,0.6818461102183571,0.644862463370829
Titanic,0.6695103506947727,0.5,0.5,0.5,0.6714954154456944,0.6694867189715474,0.6877540410246715,0.6194347291804518,0.6194347291804518
Titanic,0.6800737309764628,0.5,0.5,0.5,0.6946308724832215,0.6943000283580678,0.3053691275167785,0.6492815956139522,0.5965592210984025
Titanic,0.6780650345023159,0.5,0.5,0.5,0.6958124586444844,0.7008460156914642,0.6426174496644295,0.6701011437754041,0.7008460156914642
Pishing Websites,0.8263586100565328,0.5,0.6121039805036556,0.6121039805036556,0.9104075830169598,0.9556619804704984,0.5,0.9550875346076693,0.9563160032493907
Pishing Websites,0.8549101443989455,0.5,0.6194151096669375,0.6194151096669375,0.8944727200384621,0.9412278883933752,0.6194151096669375,0.9406633896450538,0.9451313019115039
Pishing Websites,0.8006656277458181,0.5,0.6238830219333875,0.6238830219333875,0.8995150781677415,0.9479148361212886,0.7780222649579734,0.9502776902800112,0.9498914106666225
Pishing Websites,0.8018203706405953,0.5,0.6229707792207793,0.6229707792207793,0.9020000364803735,0.9547324164599446,0.5,0.9119910987888515,0.9538568874945279
Pishing Websites,0.764186305267766,0.5,0.6164772727272727,0.6164772727272727,0.8946036407412812,0.9368342331825478,0.5001185612140668,0.9099892382898,0.936902633882971
Internet Advertisements,0.5371569534381746,0.820690718470552,0.8006860931236509,0.8006860931236509,0.8670212765957447,0.874113475177305,0.7661887141535615,0.8851372186247302,0.8461301264261486
Internet Advertisements,0.5271739130434783,0.8840194264569843,0.8126734505087881,0.8126734505087881,0.9205982115325315,0.8904178230033919,0.8126734505087881,0.9282685784767191,0.8850601295097132
Internet Advertisements,0.5271739130434783,0.890340733888375,0.8052343509096516,0.8052343509096516,0.9405642923219242,0.9103839037927844,0.8052343509096516,0.9359389454209066,0.8765417823003392
Internet Advertisements,0.5271739130434783,0.8540703052728955,0.8224252235584335,0.8224252235584335,0.9367869256860931,0.8695652173913043,0.5,0.9327012025901943,0.8603530681467777
Internet Advertisements,0.5366884888161484,0.8505767282363027,0.8081891512742576,0.8081891512742576,0.8940067025173408,0.8736263736263736,0.5,0.9010794170368639,0.8567531759021121
Thoracic Surgery,0.5,0.4875,0.48125,0.48125,0.5,0.5,0.48125,0.58125,0.4080357142857143
Thoracic Surgery,0.49375,0.49375,0.5,0.5,0.5,0.5,0.46785714285714286,0.5205357142857143,0.4892857142857143
